,ingredients,explanation,reference
1132,dipalmitoyl-hydroxyproline,"[""ExplainedDipalmitoyl Hydroxyproline isn't fungal acne safe.""]",[]
1133,dextrin-palmitate,"['ExplainedDextrin Palmitate comes from thepalmitic acidester ofDextrin. It is used as an emulsifier and texture enhancer.Emulsifiers help keep ingredients together. According to a manufacturer, dextrin palmitate helps create a low-viscosity gel texture.Due to its fatty acid base, this ingredient is not fungal-acne safe.']","['https://pubchem.ncbi.nlm.nih.gov/compound/131953543', 'https://www.cir-safety.org/sites/default/files/polysaccharide_gums_2.pdf']"
1134,peg-75-shea-butter-glycerides,"[""ExplainedPeg-75 Shea Butter Glycerides isn't fungal acne safe.""]",[]
1135,peg-50-shea-butter,"[""ExplainedPeg-50 Shea Butter isn't fungal acne safe.""]",[]
1136,panax-ginseng-flower-extract,['ExplainedPanax Ginseng Flower Extract is an antioxidant.'],[]
1137,capryloyl-glycine,"['ExplainedCapryloyl Glycine is created by adding an acyl group toglycineandcaprylic acidchloride.It is a cleanser due to its surfactant properties. Surfactants help dirt, oil, and other polluants be more easily rinsed away. According to manufacturers, Capryloyl Glycine also helps soften the skin and regulate sebum production.Emerging studies show Capryloyl Glycine may inhibit hair growth. It may also cause allergies for some people. We recommend speaking with a professional if you have any questions about this ingredient.']","['https://link.springer.com/article/10.1007/s13346-017-0390-7', 'https://repository.uantwerpen.be/docman/irua/85fdc0/160291.pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8252421/']"
1138,oligopeptide-127-rh-oligopeptide-1,['ExplainedOligopeptide-127 Rh-Oligopeptide-1 is a peptide.'],[]
1139,oligopeptide-3,['ExplainedOligopeptide-3 is a peptide.'],[]
1140,acetobacter-bacillus-lactobacillus-saccharomyces-streptococcus-fruit-leaf-imperata-cylindrica-root-seed-broccoli-eriocephalus-punctulatus-mistletoe-acrylates-c10-30-alkyl-acrylates-crosspolymer-alpha-glucan-betaine-butylene-glycol-epigallocatechin-gallatyl-glucoside-glycereth-26-glycerin-glucosyl-ceramide-glucosyl-hesperidin-hydrolyzed-hyaluronic-acid-maltodextrin-panthenol-sclerotium-gum-tromethamine-xanthan-gum-ferment-filtrate,"[""ExplainedWe don't have a description for Acetobacter/Bacillus/Lactobacillus/Saccharomyces/Streptococcus/Fruit/Leaf/Imperata Cylindrica Root/Seed/Broccoli/Eriocephalus Punctulatus/Mistletoe/Acrylates C10-30 Alkyl Acrylates Crosspolymer/Alpha-Glucan/Betaine/Butylene Glycol/Epigallocatechin Gallatyl Glucoside/Glycereth-26/Glycerin/Glucosyl Ceramide/Glucosyl Hesperidin/Hydrolyzed Hyaluronic Acid/Maltodextrin/Panthenol/Sclerotium Gum/Tromethamine/Xanthan Gum Ferment Filtrate.""]",[]
1141,arabidopsis-thaliana-extract,['ExplainedArabidopsis Thaliana Extract is an antioxidant.'],[]
1142,arginine-pca,"[""ExplainedWe don't have a description for Arginine PCA.""]",[]
1143,platinum-thioethylamino-hyaluronic-acid,"[""ExplainedWe don't have a description for Platinum Thioethylamino Hyaluronic Acid.""]",[]
1144,milk-lipids,"[""ExplainedMilk Lipids isn't fungal acne safe.""]",[]
1145,colostrum,"[""ExplainedColostrum isn't fungal acne safe.""]",[]
1146,desamido-collagen,['ExplainedDesamido Collagen can help to reduce the effects of aging.'],[]
1147,sodium-glycolate,"[""ExplainedWe don't have a description for Sodium Glycolate.""]",[]
1148,vigna-radiata-seed-extract,"['ExplainedVigna Radiata Seed Extract comes from the mung bean. Mung beans are an edible legume from Asia. It is commonly used in Asian desserts.Mung beans contain carbohydrates, protein, fat, vitamins and minerals. They also contain flavonoids and polyphenols (such ascaffeic acid) that give them antioxidant properties.']","['https://onlinelibrary.wiley.com/doi/abs/10.1111/JFBC.13743', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6627095/']"
1149,avena-strigosa-seed-extract,"[""ExplainedWe don't have a description for Avena Strigosa Seed Extract.""]",[]
1150,avena-sativa-peptide,['ExplainedAvena Sativa Peptide is a peptide.'],[]
1151,cocos-nucifera-water,"[""ExplainedWe don't have a description for Cocos Nucifera Water.""]",[]
1152,spirulina-platensis-powder,"['ExplainedSpirulina Platensis Powder comes from the alga called Spirulina platensis. It has wound-healing, antioxidant, and soothing properties.Antioxidants help protect the skin against free-radical molecules. These molecules may originate from UV rays or pollution. Spirulina Platensis is rich inbeta-carotene, a potent antioxidant.']","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5816296/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6130752/']"
1153,cassia-obtusifolia-seed-extract,"[""ExplainedWe don't have a description for Cassia Obtusifolia Seed Extract.""]",[]
1154,terminalia-chebula-fruit-extract,"[""ExplainedWe don't have a description for Terminalia Chebula Fruit Extract.""]",[]
1155,argan-oil-peg-8-esters,['ExplainedArgan Oil Peg-8 Esters is an oil.'],[]
1156,donkey-milk,"[""ExplainedWe don't have a description for Donkey Milk.""]",[]
1157,palmitoyl-pentapeptide-5,"[""ExplainedPalmitoyl Pentapeptide-5 isn't fungal acne safe and is a peptide.""]",[]
1158,erythromycin,"['ExplainedThis ingredient is a non-INCI ingredient (it is prescription medication). It is an antibiotic that stops the growth of bacteria.If you have any concerns, please speak with a licensed professional.']",['https://www.ncbi.nlm.nih.gov/books/NBK532249/']
1159,c12-18-fatty-acids-methyl-esters,['ExplainedC12-18 Fatty Acids Methyl Esters is a fragrance.'],[]
1160,acetyl-tripeptide-1,['ExplainedAcetyl Tripeptide-1 is a peptide.'],[]
1161,silybum-marianum-seed-extract,"[""ExplainedWe don't have a description for Silybum Marianum Seed Extract.""]",[]
1162,palmitoyl-dipeptide-5-diaminohydroxybutyrate,"[""ExplainedPalmitoyl Dipeptide-5 Diaminohydroxybutyrate isn't fungal acne safe and is a peptide.""]",[]
1163,acetyl-hexapeptide-30,['ExplainedAcetyl Hexapeptide-30 is a peptide.'],[]
1164,lactococcus-ferment,"[""ExplainedWe don't have a description for Lactococcus Ferment.""]",[]
1165,bacillus-lactobacillus-saccharomyces-colloidal-gold-hyaluronic-acid-rice-bran-ferment-filtrate,"[""ExplainedWe don't have a description for Bacillus/Lactobacillus/Saccharomyces/Colloidal Gold/Hyaluronic Acid/Rice Bran Ferment Filtrate.""]",[]
1166,melia-azadirachta-bark-extract,"[""ExplainedWe don't have a description for Melia Azadirachta Bark Extract.""]",[]
1167,saccharomyces-propolis-ferment-extract,['ExplainedSaccharomyces/Propolis Ferment Extract is an antioxidant.'],[]
1168,isostearoyl-hydrolyzed-collagen,['ExplainedIsostearoyl Hydrolyzed Collagen can help to reduce the effects of aging.'],[]
1169,caproyl-sphingosine,"[""ExplainedWe don't have a description for Caproyl Sphingosine.""]",[]
1170,lactobacillus-honeysuckle-flower-licorice-root-morus-alba-root-pueraria-lobata-root-schisandra-chinensis-fruit-scutellaria-baicalensis-root-sophora-japonica-flower-extract-ferment-filtrate,"[""ExplainedWe don't have a description for Lactobacillus/Honeysuckle Flower/Licorice Root/Morus Alba Root/Pueraria Lobata Root/Schisandra Chinensis Fruit/Scutellaria Baicalensis Root/Sophora Japonica Flower Extract Ferment Filtrate.""]",[]
1171,saccharomyces-honey-ferment-filtrate,"[""ExplainedWe don't have a description for Saccharomyces/Honey Ferment Filtrate.""]",[]
1172,talc,"['ExplainedTalc is a clay mineral. It helps absorb moisture and improve the texture of products. Like other types of clay, Talc can have a slight exfoliating effect on skin. Talc can be added to increase the volume of products.Some Baby powders are made by combining talc with corn starch. The word ""talc"" comes from Latin and originates from Arabic. Talc is a mineral commonly found throughout the world.If you have any concerns about using talc, we recommend checking out theFDA\'sofficial page.']","['https://www.cir-safety.org/sites/default/files/talc_082012SLR.pdf', 'https://www.fda.gov/cosmetics/cosmetic-ingredients/talc', 'https://www.mdpi.com/2673-4184/1/4/20']"
1173,bis-aminopropyl-dimethicone,['ExplainedBis-Aminopropyl Dimethicone is a type of silicone.'],[]
1174,cutibacterium-granulosum-ferment-extract-filtrate,"[""ExplainedWe don't have a description for Cutibacterium Granulosum Ferment Extract Filtrate.""]",[]
1175,aspergillus-lactobacillus-ginger-root-rice-ferment-filtrate,"[""ExplainedWe don't have a description for Aspergillus/Lactobacillus/Ginger Root/Rice Ferment Filtrate.""]",[]
1176,tranexamoyl-dipeptide-22,['ExplainedTranexamoyl Dipeptide-22 is a peptide.'],[]
1177,nicotinoyl-tranexamic-acid,"[""ExplainedWe don't have a description for Nicotinoyl Tranexamic Acid.""]",[]
1178,rosmarinus-officinalis-water,"[""ExplainedWe don't have a description for Rosmarinus Officinalis Water.""]",[]
1179,pineapple-fruit-extract-beta-glucan,"[""ExplainedWe don't have a description for Pineapple Fruit Extract Beta-Glucan.""]",[]
1180,hydrolyzed-rice-bran-protein,"[""ExplainedWe don't have a description for Hydrolyzed Rice Bran Protein.""]",[]
1181,withania-somnifera-root-extract,"['ExplainedWithania Somnifera Root Extract is also known as Ashwaganda extract. Ashwaganda is an evergreen shrub grown in India, the Middle East, and parts of Africa.Ashwaganda contains many antioxidant compounds. Antioxidants may help with anti-aging as they neutralize free-radical molecules. These molecules may damage skin cells and DNA. By neutralizing them, antioxidants may help slow the signs of aging.Other compounds found in ashwaganda includeVitamin C,caffeic acid, andferulic acid. These three acids are antioxidants but also provide other skin benefits as well.Ongoing studies show ashwaganda to prevent damage from UV-B radiation.Ashwaganda root powder has traditionally been used in Indian medicine.']","['https://koreascience.kr/article/JAKO201528559178399.page', 'https://link.springer.com/chapter/10.1007/978-1-62703-167-7_47', 'https://www.mdpi.com/2218-273X/10/2/185', 'https://www.researchgate.net/profile/Rupesh-Dudhe/publication/265245087_Biological_activities_of_Withania_somnifera/links/551e4f430cf29dcabb03ae02/Biological-activities-of-Withania-somnifera.pdf']"
1182,azelaoyl-bis-dipeptide-10,['ExplainedAzelaoyl Bis-Dipeptide-10 is a synthetically created peptide fromazelaid acid.Azelaoyl Bis-Dipeptide-10 helps even skin tone and has antioxidant properties. Antioxidants help fight against damage from free-radical molecules.'],[]
1183,terminalia-ferdinandiana-seed-oil,"['ExplainedTerminalia Ferdinandiana Seed Oil is from the Kakadu plum seed. The Kakadu plum is native to northern Australia. The Kakadu plum holds the record for having the highest amount of natural vitamin C.Like other plant oils, Kakadu Plum Seed Oil is an emollient. As an emollient, it helps hydrate the skin by creating a film that traps moisture in. This helps keep your skin hydrated.The Kakadu Plum is an antioxidant. Antioxidants help fight free-radical molecules. Free-radical molecules are capable of damaging our cells and other genetic material. Antioxidants help stabilize free-radicals and thus may reduce the signs of aging.The high vitamin C content of Kakadu plum also helps lighten skin. Vitamin C has been shown to block the process of skin darkening that leads to hyperpigmentation.Kakadu plums have been used by indigenous cultures as medicine to help treat colds and as an antiseptic.']",[]
1184,terminalia-ferdinandiana-fruit-powder,['ExplainedTerminalia Ferdinandiana Fruit Powder is from the Kakadu plum. The Kakadu plum is native to northern Australia. The Kakadu plum holds the record for having the highest amount of natural vitamin C.The Kakadu plum is an antioxidant. Antioxidants help fight free-radical molecules. Free-radical molecules are capable of damaging our cells and other genetic material. Antioxidants help stabilize free-radicals and thus may reduce the signs of aging.The high vitamin C content of Kakadu plum also helps lighten skin. Vitamin C has been shown to block the process of skin darkening that leads to hyperpigmentation.Kakadu plums have been used by indigenous cultures as medicine to help treat colds and as an antiseptic.'],['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6724055/']
1185,caprylic-capric-lauric-triglyceride,"[""ExplainedWe don't have a description for Caprylic/Capric/Lauric Triglyceride.""]",[]
1186,glycolide,"[""ExplainedWe don't have a description for Glycolide.""]",[]
1187,propylene-carbonate,"['ExplainedThis ingredient is a solvent. It helps dissolve active ingredients and alter the texture of products.Propylene Carbonate is commonly used in makeup and with clay, such as montmorillonite or bentonite.Studies show this ingredient to be safe for cosmetics. When it is undiluted, it can cause skin irritation. (It is always diluted in skincare and makeup). This ingredient is water-soluble.Propylene Carbonate is created frompropylene glycolandcarbonic acid.']","['https://pubchem.ncbi.nlm.nih.gov/compound/Propylene-Carbonate#section=InChI', 'https://www.cir-safety.org/sites/default/files/RR_Propylene%20Carbonate.pdf', 'https://www.cosmeticsinfo.org/ingredient/propylene-carbonate/']"
1188,volcanic-ash,['ExplainedVolcanic Ash is an exfoliant.'],[]
1189,tetrasodium-edta,['ExplainedTetrasodium EDTA is the salt formed from neutralizingethylenediamine tetraacetic acidwithsodium hydroxide. It is a chelating agent and used to prevent metal ions from binding to other ingredients. This helps keep the product and ingredients stable.Tetrasodium EDTA comes as a white solid and is soluble in water.'],"['https://echa.europa.eu/registration-dossier/-/registered-dossier/15231', 'https://pubmed.ncbi.nlm.nih.gov/12396676/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6262258/']"
1190,tea-lauroyl-collagen-amino-acids,['ExplainedTea-Lauroyl Collagen Amino Acids can help to reduce the effects of aging.'],[]
1191,prunus-armeniaca-fruit-extract,"[""ExplainedWe don't have a description for Prunus Armeniaca Fruit Extract.""]",[]
1192,sodium-soy-hydrolyzed-collagen,['ExplainedSodium Soy Hydrolyzed Collagen can help to reduce the effects of aging.'],[]
1193,lithospermum-erythrorhizon-root-extract,"['ExplainedLithospermum Erythrorhizon Root Extract comes from the roots of the Lithospermumerythrorhizon plant, or the purple gromwell plant.Studies show this root extract has anti-inflammatory properties and protects against oxidative stress. It also displayed UV absorption capability and protection against UV-B damage. However, it should not replace your sunscreen.The dried roots of this plant are used in traditional Chinese and Japanese medicine due to its antiviral properties.']","['https://academic.oup.com/plphys/article/119/2/417/6098698', 'https://pubmed.ncbi.nlm.nih.gov/29906314/', 'https://www.jstage.jst.go.jp/article/bpb/30/5/30_5_928/_article/-char/ja/']"
1194,moringa-oleifera-seed-extract,"['ExplainedMoringa Oleifera Seed Extract comes from the seeds of the Moringa oleifera plant.Moringa seeds have antioxidant, anti-inflammatory, and skin hydrating properties. These seeds are rich in oils, proteins, monounsaturated fats, andtocopherols.As an emollient, moringa seed oil helps trap moisture in the skin by creating a film on top. This helps keep your skin hydrated and soft.Many compounds in moringa seed oil are antioxidant and anti-inflammatory. These compounds includeVitamin E. , catechins, ferulic acid, and more.Another compound found in Moringa seed oil isoleic acid.Moringa trees are native to the Himalayan mountains.']","['https://pubmed.ncbi.nlm.nih.gov/21143769/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490473/', 'https://pubmed.ncbi.nlm.nih.gov/27565033/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5175503/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5146848/']"
1195,placental-enzymes,"[""ExplainedWe don't have a description for Placental Enzymes.""]",[]
1196,hydroxymethoxyphenyl-decanone,"['ExplainedHydroxymethoxyphenyl Decanone is a synthetically created molecule made to mimicgingerextract.Ginger has anti-inflammatory properties and helps to soothe skin.According to one study, it is anHA booster, antioxidant, and anti-irritant.In this study, this ingredient was able to stimulate higher hyaluronic acid levels of the dermal and epidermal layers on a skin-like model. Hyaluronic Acid is a humectant, which means it helps attract moisture to your skin. Humectants help keep skin hydrated.As an antioxidant, Hydroxymethoxyphenyl Decanone is able to fight off damage from free-radical molecules.']",['https://onlinelibrary.wiley.com/doi/10.1111/jocd.15027']
1197,helianthus-annuus-extract,"['ExplainedHelianthus Annuus Extract comes from the common sunflower.Sunflowers are rich invitamin E. Studies show sunflowers contain antimicrobial and antioxidant properties.The fatty acids found in sunflowers include (from highest amount to least):linoleic acid,myristic acid,palmitic acid,stearic acid, arachidic acid,oleic acid, andlinolenic acid.These fatty acids hydrate your skin. Emollients create a film on the skin to prevent moisture from escaping.']","['https://www.cir-safety.org/sites/default/files/Helianthus%20annuus.pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6566515/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7697854/', 'https://www.sciencedirect.com/science/article/pii/B9780081027288000048']"
1198,bis-glyceryl-ascorbate,"['ExplainedBis-Glyceryl Ascorbate is a form of Vitamin C and is an antioxidant. It can help to reduce redness, improve skin texture, reduce the effects of aging, and reduce the visibility of dark spots.']",[]
1199,anthemis-nobilis-flower-water,"[""ExplainedWe don't have a description for Anthemis Nobilis Flower Water.""]",[]
1200,ceramide-ns-peg-8-succinic-acid-copolymer,"[""ExplainedWe don't have a description for Ceramide Ns/Peg-8/Succinic Acid Copolymer.""]",[]
1201,3-o-cetyl-ascorbic-acid,"['Explained3-O-Cetyl Ascorbic Acid is a form of Vitamin C. It can help to reduce redness, improve skin texture, reduce the effects of aging, and reduce the visibility of dark spots.']",[]
1202,succinoyl-atelocollagen,['ExplainedSuccinoyl Atelocollagen can help to reduce the effects of aging.'],[]
1203,tetrapeptide-3,['ExplainedTetrapeptide-3 is a peptide.'],[]
1204,ascophyllum-nodosum-extract,['ExplainedAscophyllum Nodosum Extract is from brown seaweed that grows in the northern Atlantic Ocean. It is an antioxidant. Antioxidants help fight off free-radicals. Free-radicals are molecules that may damage our skin cells.Ascophyllum Nodosum Extract is also used to enhance the texture of products.'],"['https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjj-rPr6Yj8AhU-IEQIHW15DlcQFnoECDkQAQ&url=https%3A%2F%2Fwww.ncbi.nlm.nih.gov%2Fpmc%2Farticles%2FPMC7866543%2F&usg=AOvVaw0mBeAwwPlnSK3OKdyifePn', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6023426/', 'https://www.sciencedirect.com/science/article/abs/pii/S0144861715003732']"
1205,sodium-hempseedamphoacetate,"[""ExplainedWe don't have a description for Sodium Hempseedamphoacetate.""]",[]
1206,centella-asiatica-chamomilla-recutita-flower-leaf-extract,"[""ExplainedWe don't have a description for Centella Asiatica/Chamomilla Recutita Flower/Leaf)/Extract.""]",[]
1207,dmdm-hydantoin,"[""ExplainedDMDM Hydantoin has antimicrobial and antifungal properties. It is a preservative that works by slowly releasingformaldehydeover time.So what's formaldehyde?Formaldehyde is a skin sensitizer and carcinogen.Those with formaldehyde allergies or contact dermatitis should avoid this ingredient.It is also naturally occurring in foods we eat. Apples, bananas, grapes, onions, carrots, and other foods all contain tiny amounts of formaldehyde.DMDM Hydantoin is approved for use in cosmetics all around the world.In the EU, this ingredient is allowed in personal products up to 0.6 percent.You might have heard of the class-action lawsuit about it causing hair loss. According to chemists, therehas notbeen a link found between this ingredient and hair loss.TheHydantoinpart of this ingredient is created by reactingglycolic acidandurea.You can check out alternatives to Dmdm Hydantoin:phenoxyethanol,potassium sorbate, andsodium benzoate.""]","['https://pubchem.ncbi.nlm.nih.gov/compound/DMDM-Hydantoin', 'https://pubmed.ncbi.nlm.nih.gov/24335968/', 'https://www.chemicalsafetyfacts.org/chemicals/dmdm-hydantoin/', 'https://www.cosmeticsinfo.org/ingredients/dmdm-hydantoin/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5152996/']"
1208,oryza-sativa-germ-oil,"['ExplainedOryza Sativa Germ Oil is an oil expressed from the germs of rice kernels.Germs are not bacteria but rather a part of rice kernel that allows new plants to germinate.Like other plant oils, this can help nourish the skin. The germ of rice is rich in oils, vitamins, minerals, antioxidants, and protein.This ingredient may not be fungal-acne safe.Learn more about the benefits ofrice extract.']","['https://www.cosmeticsinfo.org/ingredients/oryza-sativa-rice-germ-oil/#:~:text=Oryza%20Sativa%20(Rice)%20Bran%20Oil%20is%20a%20light%20yellow%20oil,in%20cooking%20in%20Asian%20countries.', 'https://www.mdpi.com/1422-0067/13/4/4608']"
1209,rosa-damascena-flower-extract,"[""ExplainedRosa Damascena Flower Extract is from the Damask rose.The Damask Roses' petals have been found to help sooth skin. The petals also contain antioxidant compounds.Rosa Damascena Flower Extract is used as a tonic. Tonics are used to remove soap residues. They also help moisturize the skin.""]",['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3586833/']
1210,potassium-cocoyl-hydrolyzed-collagen,['ExplainedPotassium Cocoyl Hydrolyzed Collagen can help to reduce the effects of aging.'],[]
1211,zinc-hydrolyzed-collagen,['ExplainedZinc Hydrolyzed Collagen can help to reduce the effects of aging.'],[]
1212,lactobacillus-portulaca-oleracea-ferment-extract,['ExplainedLactobacillus/Portulaca Oleracea Ferment Extract is an antioxidant.'],[]
1213,placental-extract,"[""ExplainedWe don't have a description for Placental Extract.""]",[]
1214,hydrogenated-hemp-seed-oil,['ExplainedHydrogenated Hemp Seed Oil is an oil.'],[]
1215,lauramidopropyl-betaine,"[""ExplainedWe don't have a description for Lauramidopropyl Betaine.""]",[]
1216,cinnamomum-cassia-bark-extract,"[""ExplainedWe don't have a description for Cinnamomum Cassia Bark Extract.""]",[]
1217,sodium-phosphate,"[""ExplainedWe don't have a description for Sodium Phosphate.""]",[]
1218,origanum-vulgare-leaf-extract,"[""ExplainedWe don't have a description for Origanum Vulgare Leaf Extract.""]",[]
1219,disodium-phosphate,"[""ExplainedWe don't have a description for Disodium Phosphate.""]",[]
1220,eugenol,"['ExplainedEugenol is naturally found in cloves, basil, and bay leaves. It is an aromatic oil used to add fragrance to a product. The scent of eugenol is described as ""clove-like"". Eugenol is a known EU allergen, meaning it causes contact allergies.Studies show eugenol possesses antibacterial and antioxidant properties.Besides cosmetics, eugenol is also added as a flavor in teas and cakes.']","['https://www.mdpi.com/1422-0067/22/7/3671', 'https://www.tandfonline.com/doi/abs/10.1080/1040841X.2017.1295225']"
1221,disodium-cocoyl-glutamate,"[""ExplainedWe don't have a description for Disodium Cocoyl Glutamate.""]",[]
1222,arachidyl-glucoside,"[""ExplainedWe don't have a description for Arachidyl Glucoside.""]",[]
1223,arachidyl-alcohol,"[""ExplainedWe don't have a description for Arachidyl Alcohol.""]",[]
1224,polyglyceryl-10-oleate,"[""ExplainedPolyglyceryl-10 Oleate isn't fungal acne safe.""]",[]
1225,cellulose-gum,"['ExplainedCellulose Gum is a water-soluble polymer that comes from cellulose. It is used to change the texture of a product and to help stabilize emulsions.As an emulsifier, cellulose gum specifically thicken the texture of water-based products.This ingredient is considered hypoallergenic and non-toxic. Cellulose Gum can be found in cosmetics, food, and other household goods such as paper products.']","['https://link.springer.com/article/10.1007/s10856-020-06390-w', 'https://www.researchgate.net/profile/Nattaya-Lourith/publication/284290859_Biopolysaccharides_for_Skin_Hydrating_Cosmetics/links/5900547daca2725bd71e8f2a/Biopolysaccharides-for-Skin-Hydrating-Cosmetics.pdf']"
1226,echinacea-purpurea-extract,"[""ExplainedWe don't have a description for Echinacea Purpurea Extract.""]",[]
1227,opuntia-ficus-indica-stem-extract,"[""ExplainedWe don't have a description for Opuntia Ficus-Indica Stem Extract.""]",[]
1228,mentha-rotundifolia-leaf-extract,"[""ExplainedWe don't have a description for Mentha Rotundifolia Leaf Extract.""]",[]
1229,iodopropynyl-butylcarbamate,['ExplainedIodopropynyl Butylcarbamate is a preservative.'],[]
1230,serenoa-serrulata-fruit-extract,"[""ExplainedWe don't have a description for Serenoa Serrulata Fruit Extract.""]",[]
1231,1-methylhydantoin-2-imide,"[""ExplainedWe don't have a description for 1-Methylhydantoin-2-Imide.""]",[]
1232,citrulline,"[""ExplainedWe don't have a description for Citrulline.""]",[]
1233,stellaria-media-extract,"[""ExplainedWe don't have a description for Stellaria Media Extract.""]",[]
1234,coptis-chinensis-root-extract,['ExplainedCoptis Chinensis Root Extract is an antioxidant.'],[]
1235,melissa-officinalis-leaf-extract,"[""ExplainedWe don't have a description for Melissa Officinalis Leaf Extract.""]",[]
1236,behentrimonium-chloride,['ExplainedBehentrimonium Chloride is a preservative.'],[]
1237,jasminum-officinale-oil,"['ExplainedJasminum Officinale Oil is the volatile oil obtained from the flowers of the Jasmine, Jasminium officinale L., Oleaceae']",[]
1238,disodium-laureth-sulfosuccinate,"[""ExplainedWe don't have a description for Disodium Laureth Sulfosuccinate.""]",[]
1239,sorbitan-palmitate,['ExplainedSorbitan Palmitate is an emulsifier.It is created by reactingsorbitolwithpalmitic acid.'],"['https://pubchem.ncbi.nlm.nih.gov/compound/Sorbitan-palmitate#section=Structures', 'https://www.cosmeticsinfo.org/ingredients/sorbitan-palmitate/']"
1240,nymphaea-alba-flower-extract,"[""ExplainedWe don't have a description for Nymphaea Alba Flower Extract.""]",[]
1241,artemisia-princeps-leaf-water,"['ExplainedArtemisia Princeps Leaf Water is created from the wugwort native to Korea, China, and Japan.Artemisia Princeps contains antioxidants and ant-inflammatory properties.This flower is part of the sunflower family.']",[]
1242,santalum-album-oil,"['ExplainedSantalum Album Oil is created from the Santalum album, or the East Indian sandalwood tree. This oil has fragrance and masking properties due to its unique scent.Sandalwood may sensitize the skin for those sensitive to fragrances.It has been used in traditional Indian Ayurvedic medicine for centuries.']","['https://journals.sagepub.com/doi/pdf/10.1177/1934578X1601101034', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6536050/', 'https://www.sciencedirect.com/science/article/abs/pii/S0003986114002239']"
1243,citrus-aurantium-dulcis-oil,"['ExplainedCitrus Aurantium Dulcis Oil comes from the bitter orange, an orange native to Southeast Asia.This orange is commonly used in cosmetics and food. It is a common ingredient for marmalade.Citrus peels are often made up of mainly limonene, a fragrance with a citrus scent. They also contain flavonoids, which have anti-inflammatory properties.']",['https://journals.sagepub.com/doi/10.1177/1091581819862504']
1244,sclerotium-gum,"['ExplainedSclerotium Gum is a polysaccharide gum made by the fungus, Sclerotium rolfssii. It is similar toxanthan gum.In cosmetics, Sclerotium Gum is used to thicken the texture and to help stabilize other ingredients.As an emulsifier, Sclerotium Gum helps prevent ingredients from separating, such as water and oil.']","['https://asset-pdf.scinapse.io/prod/3564442/3564442.pdf', 'https://www.mdpi.com/1165884', 'https://www.sciencedirect.com/science/article/abs/pii/S0141813007001043']"
1245,sophora-flavescens-root-extract,['ExplainedSophora Flavescens Root Extract is an antioxidant.'],[]
1246,enteromorpha-compressa-extract,"[""ExplainedWe don't have a description for Enteromorpha Compressa Extract.""]",[]
1247,cymbopogon-schoenanthus-extract,"['ExplainedCymbopogon Schoenanthus Extract is created from Lemongrass. Lemongrass is native to southern Asia and northern Africa.Lemongrass has antibacterial and antioxidant properties. However, it also contains fragrance components that may sensitize skin,limoneneandcitral.']","['https://www.jmb.or.kr/journal/view.html?volume=32&number=5&spage=594', 'https://www.sciencedirect.com/science/article/pii/S1995764510601290', 'https://www.tandfonline.com/doi/abs/10.1080/15440478.2021.1958439']"
1248,potassium-cocoyl-glycinate,"['ExplainedPotassium Cocoyl Glycinate is an amino acid-based surfactant and cleaning agent. This ingredient can be derived from animals or plants. It may also be synthetically created from fatty acids of the coconut andglycine.Potassium Cocoyl Glycinate is a gentle surfactant. Surfactants help gather the dirt, oil, and other pollutants from your skin to be rinsed away. It is a mild cleanser and naturally produces foam..']","['https://journals.sagepub.com/doi/pdf/10.1177/1091581816686048', 'https://pubchem.ncbi.nlm.nih.gov/compound/Potassium-N-Cocoyl-Glycinate#section=InChI']"
1249,magnesium-aspartate,"[""ExplainedWe don't have a description for Magnesium Aspartate.""]",[]
1250,sea-clay-extract,"[""ExplainedWe don't have a description for Sea Clay Extract.""]",[]
1251,isodecyl-neopentanoate,"[""ExplainedWe don't have a description for Isodecyl Neopentanoate.""]",[]
1252,brassica-campestris-sterols,"[""ExplainedBrassica Campestris Sterols isn't fungal acne safe.""]",[]
1253,4-t-butylcyclohexanol,['Explained4-T-Butylcyclohexanol is a fragrance.'],[]
1254,castanea-crenata-shell-extract,['ExplainedCastanea Crenata Shell Extract comes from the shell of the chestnut.Studies show chestnut shells to have antioxidant and anti-inflammatory properties.Antioxidants protect your skin against damaging molecules. This may help reduce the signs of aging.'],"['https://koreascience.kr/article/JAKO201118834665429.pdf', 'https://koreascience.kr/article/JAKO201408739561012.page']"
1255,trimethylsiloxysilicate,"[""ExplainedWe don't have a description for Trimethylsiloxysilicate.""]",[]
